month,year,day_of_year,revisit_gap_hours
10,2018,295,120.00888888888888
10,2018,295,0.0
10,2018,300,120.01055555555556
10,2018,300,0.0
11,2018,305,120.00611111111112
11,2018,305,0.0
11,2018,310,120.00777777777778
11,2018,310,0.0
11,2018,315,120.00611111111112
11,2018,315,0.0
11,2018,320,120.00777777777778
11,2018,320,0.0
11,2018,325,120.00611111111112
11,2018,325,0.0
11,2018,330,120.005
11,2018,330,0.0
12,2018,335,120.00333333333332
12,2018,335,0.0
12,2018,340,120.005
12,2018,340,0.0
12,2018,345,120.00055555555556
12,2018,345,0.0
12,2018,350,120.00222222222222
12,2018,350,0.0
12,2018,355,120.00055555555556
12,2018,355,0.0
12,2018,360,120.00222222222222
12,2018,360,0.0
12,2018,365,119.99777777777778
12,2018,365,0.0
1,2019,5,119.99666666666668
1,2019,5,0.0
1,2019,10,119.99777777777778
1,2019,10,0.0
1,2019,15,119.99666666666668
1,2019,15,0.0
1,2019,20,119.995
1,2019,20,0.0
1,2019,25,119.99388888888888
1,2019,25,0.0
1,2019,30,119.99222222222222
1,2019,30,0.0
2,2019,40,239.98333333333332
2,2019,40,0.0
2,2019,45,119.99388888888888
2,2019,45,0.0
2,2019,50,119.98944444444444
2,2019,50,0.0
2,2019,55,119.99111111111112
2,2019,55,0.0
3,2019,60,119.98944444444444
3,2019,60,0.0
3,2019,65,119.99111111111112
3,2019,65,0.0
3,2019,70,119.98944444444444
3,2019,70,0.0
3,2019,75,119.98833333333332
3,2019,75,0.0
3,2019,80,119.99222222222222
3,2019,80,0.0
3,2019,85,119.99111111111112
3,2019,85,0.0
3,2019,90,119.98944444444444
3,2019,90,0.0
4,2019,95,119.99666666666668
4,2019,95,0.0
4,2019,100,120.00055555555556
4,2019,100,0.0
4,2019,105,120.00222222222222
4,2019,105,0.0
4,2019,110,119.99777777777778
4,2019,110,0.0
4,2019,115,120.00222222222222
4,2019,115,0.0
4,2019,120,120.00055555555556
4,2019,120,0.0
5,2019,125,119.99944444444444
5,2019,125,0.0
5,2019,130,120.00055555555556
5,2019,130,0.0
5,2019,135,119.99944444444444
5,2019,135,0.0
5,2019,140,119.99777777777778
5,2019,140,0.0
5,2019,145,120.00222222222222
5,2019,145,0.0
5,2019,150,119.99777777777778
5,2019,150,0.0
6,2019,155,120.00222222222222
6,2019,155,0.0
6,2019,160,119.99777777777778
6,2019,160,0.0
6,2019,165,120.00222222222222
6,2019,165,0.0
6,2019,170,120.00055555555556
6,2019,170,0.0
6,2019,175,119.99944444444444
6,2019,175,0.0
6,2019,180,120.00055555555556
6,2019,180,0.0
7,2019,185,119.99944444444444
7,2019,185,0.0
7,2019,190,120.00055555555556
7,2019,190,0.0
7,2019,195,119.99944444444444
7,2019,195,0.0
7,2019,200,120.00055555555556
7,2019,200,0.0
7,2019,205,119.99944444444444
7,2019,205,0.0
7,2019,210,120.00055555555556
7,2019,210,0.0
8,2019,215,119.99944444444444
8,2019,215,0.0
8,2019,220,120.00055555555556
8,2019,220,0.0
8,2019,225,119.99944444444444
8,2019,225,0.0
8,2019,230,119.99777777777778
8,2019,230,0.0
8,2019,235,120.00222222222222
8,2019,240,119.99777777777778
9,2019,245,119.99944444444444
9,2019,245,0.0
9,2019,250,120.00055555555556
9,2019,250,0.0
