cloud_cover,month,year,day_of_year,revisit_gap_hours
0.333198,10,2019,285,120.00777777777778
0.219738,10,2019,285,0.0
0.233715,10,2019,290,120.01166666666668
0.125288,10,2019,290,0.0
0.112336,10,2019,295,120.00777777777778
0.203477,10,2019,295,0.0
0.286479,10,2019,300,120.00888888888888
0.142824,10,2019,300,0.0
0.548562,11,2019,305,120.00777777777778
0.4417,11,2019,305,0.0
94.136692,11,2019,310,120.00611111111112
95.843136,11,2019,310,0.0
98.753463,11,2019,315,120.00777777777778
95.553933,11,2019,315,0.0
10.69094,11,2019,320,120.00611111111112
22.863619,11,2019,320,0.0
98.33744,11,2019,325,120.005
90.308443,11,2019,325,0.0
98.729291,11,2019,330,120.00611111111112
98.531451,11,2019,330,0.0
2.906001,12,2019,335,120.00222222222222
0.586053,12,2019,335,0.0
65.062365,12,2019,340,120.00611111111112
7.141047,12,2019,340,0.0
30.772641,12,2019,345,119.99944444444444
3.580381,12,2019,345,0.0
99.216152,12,2019,350,120.00333333333332
80.576791,12,2019,350,0.0
97.017995,12,2019,355,120.00222222222222
95.1926,12,2019,355,0.0
18.411633,12,2019,360,119.99777777777778
76.727062,12,2019,360,0.0
37.512428,12,2019,365,119.99944444444444
20.42104,12,2019,365,0.0
0.065734,1,2020,5,119.99777777777778
0.171877,1,2020,5,0.0
79.730304,1,2020,10,119.99666666666668
80.370184,1,2020,10,0.0
99.219954,1,2020,15,119.995
96.068545,1,2020,15,0.0
0.20425,1,2020,20,119.99666666666668
0.091255,1,2020,20,0.0
84.270709,1,2020,25,119.99222222222222
71.371605,1,2020,25,0.0
99.908741,1,2020,30,119.99388916666666
99.999879,1,2020,30,0.0
99.363042,2,2020,35,119.99222194444444
85.621906,2,2020,35,0.0
95.141473,2,2020,40,119.99388888888888
96.534708,2,2020,40,0.0
7.958413,2,2020,45,119.98944472222222
43.80817,2,2020,45,0.0
7.903975,2,2020,50,119.99111083333334
20.65618,2,2020,50,0.0
99.618477,2,2020,55,119.98944444444444
99.112372,2,2020,55,0.0
88.96559,2,2020,60,119.97722222222222
44.11956,2,2020,60,0.0
0.19636,3,2020,65,120.00333333333332
0.056751,3,2020,65,0.0
18.094023,3,2020,70,119.97722222222222
9.46823,3,2020,70,0.0
100.0,3,2020,75,120.00333333333332
100.0,3,2020,75,0.0
99.532248,3,2020,80,119.97444444444444
99.993945,3,2020,80,0.0
30.248979,3,2020,85,120.00611111111112
40.348801,3,2020,85,0.0
100.0,3,2020,90,119.9883336111111
100.0,3,2020,90,0.0
99.983908,4,2020,95,120.00055527777778
99.999573,4,2020,95,0.0
99.561876,4,2020,100,119.99944444444444
93.428744,4,2020,100,0.0
77.264773,4,2020,105,120.00055555555556
86.862605,4,2020,105,0.0
88.85783,4,2020,110,119.99944444444444
59.43979,4,2020,115,120.00055555555556
90.182657,4,2020,115,0.0
1.345872,4,2020,120,119.99944444444444
7.707407,4,2020,120,0.0
4.182139,5,2020,125,120.00333333333332
0.360161,5,2020,125,0.0
4.696043,5,2020,130,119.99666666666668
0.296452,5,2020,130,0.0
13.915279,5,2020,135,120.00333333333332
